pop1,pop2,pop3,pop4,pop5,pop6,lan1,lan2,inc1,inc2,inc3,inc4,own1,own2,own3,own4,lab1,lab2,lab3,fsa
30715,10503,9920,18.89.7,71.5,35.9,0.5686628383921247,0.3914684167350287,42538,19380,44800,112293,66.8,15.8,4.7,0.891633064516129,73.1,7.4,0.24843085644867383,T5Z
14767,6759,6241,13.718.6,67.7,42.9,0.8281358281358281,0.15072765072765074,44983,9075,46769,89041,50.7,12.5,12.1,0.6755233494363929,68.2,8.3,0.29581470946769606,T6A
9503,4257,4011,12.620.5,66.9,43.6,0.8304278922345484,0.1526677231907026,43846,5845,46259,89168,49.0,11.7,8.2,0.7753086419753087,65.3,9.9,0.32507739938080493,T6B
20587,10001,9287,13.215.9,70.9,39.4,0.8242216229468007,0.1532238293699436,45394,13335,46580,82109,55.8,17.6,7.4,0.5748373101952278,72.9,8.3,0.23627825066040506,T6C
22674,13932,12143,9.210.8,80.0,33.2,0.7649810648251281,0.21430162619737136,40940,16645,40629,66823,60.5,17.8,7.6,0.3773898586866168,77.6,8.1,0.1931846040696249,T6E
12634,6636,5377,8.311.3,80.3,28.2,0.6589456869009584,0.3226837060702875,34801,7825,28845,67772,44.6,14.0,5.7,0.3878504672897196,66.7,8.7,0.28870890900428775,T6G
30171,13127,12287,16.014.0,70.0,35.1,0.6915106951871658,0.27907754010695185,41360,18995,38899,83508,49.4,11.8,6.8,0.5098765432098765,70.0,8.7,0.2676056338028169,T6H
47109,19266,18391,16.117.2,66.7,39.8,0.6459160674036707,0.3214554041000322,42056,28400,40373,87936,48.9,13.3,9.8,0.6375545851528385,67.0,8.7,0.29506506893441564,T6J
29838,10669,10349,21.012.8,66.1,36.0,0.6356864736753005,0.32774674115456237,37534,16995,38304,83108,58.2,15.6,25.1,0.6690926734594856,67.9,10.8,0.2996770721205597,T6K
51562,18415,17779,18.211.5,70.3,36.5,0.6321031048623316,0.3321616871704745,38178,31860,39792,91351,63.4,15.9,12.7,0.7368124118476728,71.5,9.6,0.26401533301389557,T6L
28187,10006,9445,20.89.9,69.3,36.0,0.6741373176805407,0.29473496976165064,53899,17925,52611,129128,70.5,15.2,0.0,0.89798087141339,75.9,6.0,0.2048054919908467,T6M
25,1,1,00,0,0,,,0,0,0,0,0,0,0,,0,0,,T6N
1798,884,846,12.516.7,70.8,48.2,0.9387186629526463,0.052924791086350974,37760,1130,42624,68267,63.8,10.2,0.0,0.8823529411764706,64.9,9.2,0.29559748427672955,T6P
45145,16082,15436,19.613.0,67.4,38.3,0.6235228539576365,0.3474916387959866,55538,27450,54314,135503,60.8,14.1,0.9,0.859324236517219,71.4,6.7,0.25347954449599325,T6R
96,54,40,10.510.5,78.9,31.6,0.8235294117647058,0.17647058823529413,0,0,0,104704,100.0,0,0.0,inf,69.2,0.0,0.23076923076923078,T6S
37150,11270,10919,23.06.5,70.5,32.0,0.43542733890536534,0.5103801563763818,39289,22885,39578,106116,86.7,22.7,1.4,0.8353909465020576,76.2,8.8,0.22857645609713179,T6T
19927,6895,6621,22.76.7,70.6,33.5,0.5903614457831325,0.3682228915662651,46297,12470,47777,109764,77.8,17.6,1.9,0.8397873955960516,76.1,6.9,0.218128464297359,T6V
50904,21001,18977,21.76.1,72.1,32.3,0.5961747017647638,0.3632061520260278,54130,32995,54476,112867,84.0,19.0,1.5,0.8118393234672304,79.0,7.7,0.18791777021061926,T6W
35649,12428,11747,24.73.6,71.7,31.2,0.5549789621318373,0.3981767180925666,49787,22750,50450,115279,93.0,19.7,1.0,0.8231263383297645,82.0,8.2,0.16869045395105547,T6X
11756,4872,4440,20.810.5,68.6,35.6,0.93071000855432,0.059880239520958084,44622,7310,41160,99285,67.7,12.2,10.7,0.8331402085747392,73.9,10.7,0.1994638069705094,T7A
13989,6079,5426,19.711.4,68.9,37.0,0.9148401006108516,0.07402084081925979,45231,8815,46158,102819,63.0,10.6,13.7,0.7567829457364341,73.8,10.4,0.2095890410958904,T7E
7795,3256,3119,18.122.3,59.6,44.7,0.8721311475409836,0.11737704918032787,34793,4445,32256,70726,51.6,14.4,7.2,0.7605633802816901,64.9,6.4,0.28921568627450983,T7N
7536,3182,2950,18.124.4,57.4,44.4,0.8654646324549237,0.12343966712898752,32632,3990,31588,63744,54.3,13.5,8.6,0.6861313868613139,63.1,7.5,0.3266375545851528,T7P
12691,5171,4645,22.26.7,71.2,33.8,0.9117415287628053,0.07919621749408984,47600,8190,47497,110243,72.6,11.2,8.9,0.7350054525627044,78.2,12.9,0.1762571280456195,T7S
10575,4652,4197,19.310.9,69.8,37.7,0.9105960264900662,0.07568590350047304,45477,6800,45221,102284,64.7,10.6,14.6,0.7502972651605232,73.5,7.3,0.22202486678507993,T7V
44071,16767,15968,22.310.5,67.1,34.8,0.9251824817518248,0.06398266423357664,47827,26735,48390,107799,71.8,12.9,6.4,0.7998708844415752,73.3,8.3,0.23183289202706678,T7X
6891,2495,2406,18.114.7,67.3,45.2,0.90559186637618,0.08714596949891068,53456,4325,51925,140186,54.8,13.7,0.0,0.9439655172413793,69.7,8.0,0.2594547053649956,T7Y
26014,10269,9765,19.314.9,65.7,39.6,0.9299165210638711,0.060570762958648806,44288,15670,44439,101667,64.9,13.3,8.1,0.8084210526315789,69.7,9.2,0.26036525172754194,T7Z
43987,16225,16057,18.415.8,65.8,41.2,0.9090182648401827,0.07968036529680365,52125,27625,50557,123136,57.3,10.8,7.4,0.8917316692667707,70.9,7.0,0.25196298373527765,T8A
6440,2228,2156,15.915.3,68.7,46.2,0.8222049689440993,0.16770186335403728,56384,4120,49323,178586,46.5,13.2,0.0,0.957345971563981,66.4,3.9,0.27726432532347506,T8B
4502,1575,1537,18.013.1,69.0,43.9,0.9155555555555556,0.07777777777777778,52928,2880,50517,144448,50.2,9.8,0.0,0.9632107023411371,71.5,6.7,0.23265306122448978,T8C
8104,2910,2825,19.312.1,68.7,42.6,0.932757557063541,0.06107341147439852,51349,5120,49888,135485,59.2,13.7,0.0,0.9462962962962963,71.4,6.6,0.24923780487804878,T8E
4848,1881,1769,18.411.0,70.7,41.9,0.932920536635707,0.05985552115583075,52992,3135,52992,126413,67.5,11.8,0.0,0.9728915662650602,72.8,7.0,0.21437740693196405,T8G
